INPUT: TRAIN_LOSS TEST_LOSS AVG_DELTA

# 9 size input
x5000: 0.0030 0.0032 0.0417
x5000: 0.0030 0.0033 0.0421
x5000: 0.0031 0.0031 0.0402

# 9 size input + data reverse
x5000: 0.0027 0.0029 0.0378
x5000: 0.0027 0.0028 0.0375
x5000: 0.0027 0.0028 0.0371

x10000: 0.0024 0.0027 0.0346
x10000: 0.0025 0.0026 0.0348
x10000: 0.0025 0.0026 0.0345

x15000: 0.0024 0.0025 0.0337
x15000: 0.0024 0.0025 0.0334

x50000: 0.0022 0.0024 0.0318

# 6 size input
x5000: 0.0029 0.0028 0.0364
x5000: 0.0029 0.0030 0.0387
x5000: 0.0028 0.0030 0.0380
x5000: 0.0028 0.0028 0.0347

# 6 size input + data reverse
x5000: 0.0028 0.0029 0.0351
x5000: 0.0028 0.0028 0.0349
x5000: 0.0028 0.0028 0.0353
x5000: 0.0028 0.0028 0.0355

x10000: 0.0027 0.0028 0.0338
x10000: 0.0027 0.0027 0.0337

x15000: 0.0026 0.0027 0.0333

x50000: 0.0026 0.0027 0.0327

### BEST SETUP: Net(9, 3), Data reverse, x50000
